z,M,n,lower,upper,d,dist_indices,year
2.02,27,0.5804908470718678,1.9821734833077267,0,0.388749181254348,1,2004
1.98997487421324,14,-0.43497269771833935,2.0032407188478722,0,0.531843156256751,5,2013
2.3323807579381204,7.5,-1.3999935488124031,2.0422724563012378,0,0.8516650358758033,1,2013
2.1283796653792764,15,-0.32830106444764096,2.0002978220142595,0,0.5495452665613635,1,2013
2.3086792761230392,19.75,0.09704312917849545,1.9904502102301285,0,0.5194934241369366,1,2013
1.969771560359221,25.5,0.49211676974964635,1.9834952585628791,0,0.39007289414300256,5,2004
2.211334438749598,29.5,0.7174055068402718,1.9802722492729548,0,0.40713967119946287,1,2004
2.12367605815953,18.25,-0.025082862438039793,1.992997125889855,0,0.4971149642398959,1,2013
1.977371993328519,15.5,-0.2776038854521724,1.9989715170333784,0,0.5022529885586835,5,2013
2.0591260281974,20,0.11649150425904144,1.990063421254446,0,0.4604345773288535,1,2013
2.455605831561735,15,-0.32830106444764096,2.0002978220142595,0,0.6340346993658943,1,2013
2.0566963801203135,7.5,-1.3999935488124031,2.0422724563012378,0,0.7509993342207436,1,2003
2.151743479135001,15,-0.32830106444764096,2.0002978220142595,0,0.555577777333351,1,2003
1.997498435543818,16.5,-0.18093957147116416,1.9965644189523117,0,0.49175012131994617,1,2014
2.821347195933177,29.75,0.7304530562756003,1.9800998764569202,0,0.5172649468213404,1,2014
2.9698484809834995,29.25,0.7042469130961688,1.9804475986834025,0,0.5491251783869152,1,2013
2.5019992006393608,71.25,2.08078595710662,1.9683226030287664,0,0.2964112837305743,1,2013
3.7755794257305726,3.5,-2.578357666447866,2.144786687917804,0,2.018132092519502,1,2004
2.6683328128252666,10.25,-0.9170231037836177,2.0195409704413754,0,0.8334471466994553,1,2013
3.2093613071762426,12.75,-0.5795757146151159,2.007583770315836,0,0.8988009441777984,1,2013
2.7910571473905725,18.75,0.016706855349011448,1.9921021540022417,0,0.6445670381478303,1,2013
2.24,48.75,1.4940474015995036,1.9722040512684418,0,0.32081946356966595,1,2013
2.18,48.5,1.4860981530730013,1.9722675325821337,0,0.31302975715733383,1,2013
2.4,70,2.0534201908078376,1.9684724997370187,0,0.28685486624025447,1,2013
2.227105745132009,54,1.6521833314366308,1.9710074720044708,0,0.3030707043774635,1,2014
3.27566787083184,41.5,1.245103008742087,1.9743577636580265,0,0.5084822679970953,1,2014
2.463736998950984,36,1.0252834157785502,1.9765750658304366,0,0.41062283315849735,1,2014
2.1260291625469296,24.75,0.44596034418691644,1.9842169515864172,0,0.4273479409407077,1,2014
